time,sst_anomaly
2018-08-15,0.122048244
2018-09-15,0.19010025
2018-10-15,0.23322715
2018-11-15,0.24819401
2018-12-15,0.24516274
2019-01-15,0.28362268
2019-02-15,0.32131907
2019-03-15,0.33291456
2019-04-15,0.3435037
2019-05-15,0.35020915
2019-06-15,0.37800762
2019-07-15,0.3744168
2019-08-15,0.35703018
2019-09-15,0.30629286
2019-10-15,0.3544136
2019-11-15,0.3384311
2019-12-15,0.34782228
2020-01-15,0.36957854
2020-02-15,0.33700892
2020-03-15,0.40115508
2020-04-15,0.41299498
2020-05-15,0.3406263
2020-06-15,0.3482279
2020-07-15,0.33367547
2020-08-15,0.33374083
2020-09-15,0.29397506
2020-10-15,0.2523076
2020-11-15,0.20443553
2020-12-15,0.14461347
2021-01-15,0.15552138
2021-02-15,0.13125105
2021-03-15,0.18669134
2021-04-15,0.21089676
2021-05-15,0.21347073
2021-06-15,0.23397379
2021-07-15,0.24063803
2021-08-15,0.21795674
2021-09-15,0.21108678
2021-10-15,0.23333183
2021-11-15,0.2549319
2021-12-15,0.21352223
